,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gamba,100,GA,1613426905,83,-2.65,10.0,78.92599999999999,1.14
1,Kavieng,46,PG,1613426905,74,-2.5744,150.7967,84.21799999999999,3.76
2,Bredasdorp,97,ZA,1613426905,67,-34.5322,20.0403,57.469999999999956,1.03
3,Longyearbyen,75,SJ,1613426905,100,78.2186,15.6401,26.86999999999996,1.03
4,Dayong,0,CN,1613426905,72,25.0209,118.2898,59.26999999999996,4.0
5,Hobart,40,AU,1613426723,77,-42.8794,147.3294,64.27400000000002,3.09
6,Binga,100,ZW,1613426905,87,-17.6203,27.3414,74.03000000000004,1.84
7,Vaini,75,TO,1613426905,78,-21.2,-175.2,82.66999999999996,1.54
8,Hithadhoo,14,MV,1613426905,70,-0.6,73.0833,82.38200000000002,1.6
9,Thompson,75,CA,1613426797,66,55.7435,-97.8558,7.069999999999958,2.06
10,Touros,40,BR,1613426906,74,-5.1989,-35.4608,82.66999999999996,5.66
11,Kyzyl-Suu,0,KG,1613426906,70,42.3414,78.0056,27.248000000000026,4.68
12,Kushima,75,JP,1613426906,57,31.4583,131.2333,46.66999999999996,4.63
13,Mar del Plata,75,AR,1613426746,100,-38.0023,-57.5575,71.27599999999998,10.01
14,Mabaruma,91,GY,1613426906,78,8.2,-59.7833,76.90999999999998,2.73
15,Avarua,4,CK,1613426906,74,-21.2078,-159.775,84.46999999999997,3.09
16,Narsaq,90,GL,1613426814,58,60.9167,-46.05,23.26999999999996,5.66
17,Punta Arenas,75,CL,1613426716,47,-53.15,-70.9167,59.26999999999996,10.8
18,Shenzhen,6,CN,1613426842,95,22.5455,114.0683,66.27200000000005,2.91
19,Bosobolo,90,CD,1613426906,31,4.1833,19.9,79.808,1.31
20,Hamilton,90,US,1613426639,86,39.1834,-84.5333,22.261999999999954,4.63
21,Magadan,77,RU,1613426906,79,59.5667,150.8,-7.348000000000027,3.05
22,Alice,75,US,1613426906,74,27.7523,-98.0697,34.06999999999996,5.66
23,Bengkulu,43,ID,1613426906,88,-3.8004,102.2655,76.08200000000002,2.56
24,College,75,US,1613426907,71,64.8569,-147.8028,4.261999999999954,0.26
25,Castro,9,BR,1613426907,74,-24.7911,-50.0119,68.19800000000004,0.77
26,Tasiilaq,90,GL,1613426907,86,65.6145,-37.6368,28.66999999999996,0.21
27,Kyren,72,RU,1613426907,84,51.6828,102.1408,1.5080000000000027,0.22
28,Ushuaia,75,AR,1613426722,51,-54.8,-68.3,59.26999999999996,8.23
29,Albany,100,US,1613426803,71,42.6001,-73.9662,26.27599999999999,0.48
30,Butaritari,0,KI,1613426907,79,3.0707,172.7902,79.64600000000004,6.65
31,Jamestown,90,US,1613426812,86,42.097,-79.2353,26.27599999999999,2.57
32,Tuktoyaktuk,75,CA,1613426798,76,69.4541,-133.0374,-19.929999999999993,1.03
33,Lipari,1,IT,1613426907,48,38.4674,14.954,47.26400000000003,8.06
34,Yar-Sale,100,RU,1613426907,90,66.8333,70.8333,-9.04000000000002,7.38
35,Anadyr,0,RU,1613426907,70,64.75,177.4833,-8.733999999999995,3.0
36,Kunduz,0,AF,1613426907,43,36.729,68.857,53.54600000000005,0.69
37,Misratah,85,LY,1613426907,57,32.3754,15.0925,51.727999999999966,10.96
38,Cape Town,0,ZA,1613426756,55,-33.9258,18.4232,66.27200000000005,8.75
39,Saint-Philippe,0,RE,1613426907,69,-21.3585,55.7679,79.06999999999996,3.09
40,Madimba,20,TZ,1613426908,94,-10.4,40.3333,79.06999999999996,7.2
41,San Patricio,75,US,1613426908,74,28.017,-97.5169,30.46999999999996,6.69
42,East London,34,ZA,1613426908,63,-33.0153,27.9116,68.18000000000004,6.28
43,Nekhayevskiy,0,RU,1613426908,81,50.4106,41.7561,2.2640000000000313,1.32
44,Yerofey Pavlovich,87,RU,1613426908,83,53.9667,121.9667,-18.328000000000017,1.31
45,Upernavik,100,GL,1613426908,90,72.7868,-56.1549,-4.5940000000000225,2.79
46,Rikitea,8,PF,1613426794,78,-23.1203,-134.9692,80.02400000000002,6.31
47,Busselton,47,AU,1613426908,95,-33.65,115.3333,65.26400000000004,1.34
